concept,label,identifier,,source,citation
"""Aligned"" LFW",aligned lwf,aligned_lwf,a version of the LFW image set that has been adjusted to center the facial features in the image,http://vis-www.cs.umass.edu/lfw/,"“Labeled Faces in the Wild Home,” LFW : Results. [Online]. Available: http://vis-www.cs.umass.edu/lfw/. [Accessed: 06-Oct-2018]."
Actvity,actvity,actvity,something that occurs over a period of time and acts upon or with entities,,PROV-O: The PROV Ontology. [Online]. Available: https://www.w3.org/TR/prov-o/#Activity. [Accessed: 02-Nov-2018].
Additional Face(s),additional face(s),additional_faces,face(s) in the photo other than the primary subject of the photo,http://vis-www.cs.umass.edu/lfw/,"E. Learned-Miller, G. B. Huang, A. RoyChowdhury, H. Li, and G. Hua, “Labeled faces in the wild: A survey,” in Advances in face detection and facial image analysis. Springer, 2016, pp. 189–248."
Adult,adult,adult,person from age 18 to 44 years old,,"N. Geifman and E. Rubin, “The Age-Phenome Knowledgebase: an example to handling ab-straction and expressiveness in a knowledge domain.”"
Age,age,age,the estimated age in years of the individual in the photo,http://vis-www.cs.umass.edu/lfw/,"E. Learned-Miller, G. B. Huang, A. RoyChowdhury, H. Li, and G. Hua, “Labeled faces in the wild: A survey,” in Advances in face detection and facial image analysis. Springer, 2016, pp. 189–248."
Age Range,age range,age_range,"the space or extent included, covered, or used to describe age",https://www.merriam-webster.com/dictionary/range,"“Range,” Merriam-Webster. [Online]. Available: https://www.merriam-webster.com/dictionary/range. [Accessed: 19-Nov-2018]."
Alignment,alignment,alignment,arrangment in correct or appropriate relative positions,,"“alignment | Definition of alignment in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/alignment. [Accessed: 06-Oct-2018]."
Arched Eyebrows,arched eyebrows,arched_eyebrows,eyebrows that are in the form of arches,,"“arched| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/arched. [Accessed: 13-Oct-2018]."
Asian,asian,asian,"categorized as ""Asian"" by the LFW tags",,
Attractive Man,attractive man,attractive_man,"a man whose face adheres to scientific beauty standards (golden ratio, horizontal face symmetry)",,
Attractive Woman,attractive woman,attractive_woman,"a woman whose face adheres to scientific beauty standards (golden ratio, horizontal face symmetry)",,
Attractiveness,attractiveness,attractiveness,"whether or not a person's face adheres to scientific beauty standards (golden ratio, horizontal face symmetry)",,"N. Kumar, A. Berg, P. N. Belhumeur, and S. Nayar, “Describable visual attributes for face verification and image search,” IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 33, no. 10, pp. 1962–1977, 2011."
Auicle Occlusion,auricle occlusion,auricle_occlusion,occlusion of the ears,,"“Facial Region,” The Free Dictionary. [Online]. Available: https://medical-dictionary.thefreedictionary.com/facial region. [Accessed: 03-Nov-2018]."
Baby,baby,baby,person from age 0 to 1 years old,,"N. Geifman and E. Rubin, “The Age-Phenome Knowledgebase: an example to handling ab-straction and expressiveness in a knowledge domain.”"
Bagginess,bagginess,bagginess,mild swelling or puffiness under the eyes,https://www.mayoclinic.org/diseases-conditions/bags-under-eyes/symptoms-causes/syc-20369927,"“Bags under eyes,” Mayo Clinic, 26-Jan-2018. [Online]. Available: https://www.mayoclinic.org/diseases-conditions/bags-under-eyes/symptoms-causes/syc-20369927. [Accessed: 09-Nov-2018]."
Balanced Lighting Variation,balanced lighting varation,balanced_lighting_varation,both small light source in close proximity relative to the subject and large light source in distant proximity relative to the subject,,
Bald,balding,balding,having a scalp wholly lacking hair,,"“bald| Definition of wavy in English by Oxford Dictionaries,” Oxford Dictionaries | English. [Online]. Available: https://en.oxforddictionaries.com/definition/bald. [Accessed: 13-Oct-2018]."
Balding,balding,balding,baldness typically appears first at the hairline or top of the head,https://www.mayoclinic.org/diseases-conditions/hair-loss/multimedia/male-pattern-baldness/img-20005838,"“Male-pattern baldness,” Mayo Clinic. [Online]. Available: https://www.mayoclinic.org/diseases-conditions/hair-loss/multimedia/male-pattern-baldness/img-20005838. [Accessed: 09-Nov-2018]."
Bangs,bangs,bangs,whether or not person has hair covering their forehead,,
